pid,name,type
Adelia_Prado,Adélia Prado,author
Adolf_Brand,Adolf Brand,author
Aime_Cesaire,Aimé Césaire,author
Alda_do_Espirito_Santo,Alda do Espírito Santo,author
Alda_Merini,Alda Merini,author
Alejandra_Pizarnik,Alejandra Pizarnik,author
Alejandro_Zambra,Alejandro Zambra,author
Amelie_Nothomb,Amélie Nothomb,author
Amina_Said,Amina Saïd,author
Anna_Akhmatova,Anna Akhmatova,author
Annie_Ernaux,Annie Ernaux,author
Anonymous,Anonymous,author
Anton_Chekov,Anton Chekov,author
Antonia_Pozzi,Antonia Pozzi,author
Antonio_Machado,Antonio Machado,author
Armando_Valladares,Armando Valladares,author
Arthur_Rimbaud,Arthur Rimbaud,author
Bai_Juyi,Bai Juyi,author
C_P_Cavafy,C. P. Cavafy,author
Carlos_de_Assumpcao,Carlos de Assumpção,author
Carlos_Drumond_de_Andrade,Carlos Drumond de Andrade,author
Catullus,Catullus,author
Charles_Baudelaire,Charles Baudelaire,author
Charlotte_Delbo,Charlotte Delbo,author
Chiranan_Pitpreecha,Chiranan Pitpreecha,author
Cristina_Peri_Rossi,Cristina Peri Rossi,author
Dahlia_Ravikovitch,Dahlia Ravikovitch,author
David_Diop,David Diop,author
Dino_Bonao_Juan_Dicent,Dino Bonao (Juan Dicent),author
Dora_Gabe,Dora Gabe,author
ee_cummings,ee cummings,author
Eirini_Lemos,Eirini Lemos,author
Elene_Shvartz,Elene Shvartz,author
Elvira_Sastre,Elvira Sastre,author
Emile_Nelligan,Émile Nelligan,author
Erich_Arendt,Erich Arendt,author
Eugenio_Montale,Eugenio Montale,author
Eunice_Odio,Eunice Odio,author
Federico_García_Lorca,Federico García Lorca,author
Fernando_Pessoa,Fernando Pessoa,author
Filippo_Vignali,Filippo Vignali,author
Francesco_Guccini,Francesco Guccini,author
Francois_Villon,François Villon,author
Francoise_Sagan,Françoise Sagan,author
Frantisek_Halas,František Halas,author
Franz_Kafka,Franz Kafka,author
Gabriela_Mistral,Gabriela Mistral,author
Georges_Bataille,Georges Bataille,author
Gioconda_Belli,Gioconda Belli,author
Giovanni_Pascoli,Giovanni Pascoli,author
Giuseppe_Ungaretti,Giuseppe Ungaretti,author
Guillaume_Apollinaire,Guillaume Apollinaire,author
Guy_de_Maupassant,Guy de Maupassant,author
Haizi,Haizi,author
Hannah_Szenes,Hannah Szenes,author
Haruki_Murakami,Haruki Murakami,author
Henry_David_Thoreau,Henry David Thoreau,author
Hilde_Domin,Hilde Domin,author
Hossein_Monzavi,Hossein Monzavi,author
Hwang_Ji_woo,Hwang Ji-woo,author
Idea_Vilariño,Idea Vilariño,author
Ja_Far_Shahri,Ja’Far Shahri,author
Juan_Cabrera,Juan Cabrera,author
Judas_Isgorogota_Agnelo_Rodrigues_de_Melo,Judas Isgorogota (Agnelo Rodrigues de Melo),author
Julia_de_Burgos,Julia de Burgos,author
Karina_Garcia_Albadiz,Karina García Albadiz,author
Keyla_Cavdar,Keyla Çavdar,author
Khalil_Hawi,Khalil Hawi,author
Kim_Soon_Mi,Kim Soon Mi,author
Kim_Sowol,Kim Sowol,author
King_Rama_II,King Rama II,author
Kobayashi_Issa,Kobayashi Issa,author
La_Compiuta_Donzella,La Compiuta Donzella,author
Leopold_Sedar_Senghor,Léopold Sédar Senghor,author
Li_Jizong,Li Jizong,author
Li_Yu,Li Yu,author
Li_Yuansheng,Li Yuansheng,author
Liu_Xiaobo,Liu Xiaobo,author
Liu_Yu,Liu Yu,author
Lu_Xun,Lu Xun,author
Mahadevi_Varma,Mahadevi Varma,author
Mahmoud_Darwish,Mahmoud Darwish,author
Mak_Dizdar,Mak Dizdar,author
Mansur_Al_Hallaj,Mansur Al-Hallaj,author
Margherita_Guidacci,Margherita Guidacci,author
Maria_Luisa_Spaziani,Maria Luisa Spaziani,author
Mariama_Ndiaye,Mariama Ndiaye,author
Marica_Bodrozic,Marica Bodrožić,author
Marina_Tsvetaeva,Marina Tsvetaeva,author
Marinella,Marinella,author
