pid,title,transtitle,author,translator,poem,transpoem,note,abio,tbio,language,lang,image,image2,imagecredit,imagecredit2,origaudio,translaudio,edition,nonote,pagetype
editor-note,,Editor's Note,Alex Bousquet-Chavanne; Megan Mansmann,,,,"<p class=""ednote"">Dear readers,</p> <p class=""ednote"">We are proud to give you our fourth issue of <em>DoubleSpeak</em>, a publication dedicated to the art of translation. With more submissions in more languages than ever, we are excited to have you act as a fundamental part of our growing project.</p> <p class=""ednote"">We are a group of individuals who believe not only in the value of original work, but also in the value of the translator's input: her style, opinion, interpretation. In this issue, the included languages range from Greek to Hebrew, Dutch to Russian.</p> <p class=""ednote"">We also include a feature from a translation seminar by Penn English Department Professor Taije Silverman: a series of translations of the Hungarian poet Milos Radnoti's famous ""Postcards,"" showcasing students' artistic differences as the poem moves from translator to translator.</p> <p class=""ednote"">Please enjoy another exciting issue of <em>DoubleSpeak</em>, and if you wish to get involved, reach out to us.</p> <p>Yours,<br>Alex Bousquet-Chavanne and Megan Mansmann<br>Editors-in-Chief</p> <p> . </p> <p> . </p>",,,,en,/assets/images/10F881F1-C778-4B95-96E9-49474B269B4D.jpg,,,,,,2014,,frontmatter
winter-haiku,"672, 673, 718,736",Winter Haiku,Yosa Buson,Allan Persinger,"<p style=""writing-mode: vertical-rl"">行秋や<br>よき衣きたる<br>掛り人</p>

Yuku aku ya 
yoki kinu kitaru
kakari udo

<p style=""writing-mode: vertical-rl"">跡かくす<br>師の行方や<br>暮の秋</p>

Seki kakasu 
shi no yukigata ya
kure no aki

<p style=""writing-mode: vertical-rl"">小春凪<br>真帆も七合<br>五勺かな</p>

Koharu nagi
maho mo shichigau
go shyaku kana

<p style=""writing-mode: vertical-rl"">子を捨る<br>薮さへなくて<br>枯野哉</p>

Ko o sutsuru
yabu sahe nakute
kareno kana ","In the departing autumn
wearing expensive clothing--
a freeloading lodger



In which direction 
are my master's hidden footprints--
autumn darkens



Becalmed in the Indian summer
ten men going full sail--
thirty-seven gallons of sake



In a withered field
even the thicket is crying--
an abandoned child","<p>In the first of these haiku, ""Kakari Udo"" has two meanings: one, a guest who has been asked to stay, and two, a guest who sponges off the host. ""Yoki"" just above it means ""good quality,"" and I have translated it as ""expensive."" In the second haiku, ""master"" could be Buson's original teacher, Soua, or it may reference Bashō, who did many walking poetry tours through Northern Japan.</p>
","<p>Yosa Buson (1716-1784) is considered one of the four major haiku poets and one of the three great poets of the Edo era. Buson was most likely born in the village of Kema in the Settsu province, which is now known as Osaka. Besides studying poetry with Hajin, Buson also studied calligraphy, Chinese-style poetry (kanshi), and Noh chanting (yokyoku). Scholars wonder if Buson studied Chinese literature under a master or if he was self-taught.</p>

","<p>Allen Persinger has a graduate degree in creative writing and he lived in Japan for fifteen years. He has won several awards, including the American Poets' Prize, and he teaches English at Milkwaukee Area Technical College.</p>

",Japanese,ja,,,,,,,2014,,submission
to-the-reader,Au Lecteur,To The Reader,Charles Baudelaire,Allison Collins,"La sottise, l'erreur, le l'péché. la lésine,
Occupent nos esprits et travaillent nos corps,
Et nous alimentons nois aimables remords,
Comme les mendiants nourissent leur vermine,

Nos péchés sont têtus, nos repentirs sont låches;
Nous nous faison payer grassement nos aveux,
Et nous rentrons gaiement dans le chemin bourbeux,
Croyant par de vils pleurs laver toutes nos taches.

Sur l'oreiller du mal c'est Satan Trismégiste
Qui berce longuement notre esprit enchanté,
Et le riche métal de notre volonté
Est tout vaporisé par ce savant chimiste.

C'est le Diable qui tient les fils qui nous remuent!
Aux objets répugnants nous trouvons des appas;
Chaque jour vers l'Enfer nous descendons d'un pas,
Sans horreur, à travers des ténèbres qui puent.

Ainsi qu'um débauché pauvre qui baise et mange
Le sein martyrisé d'une antique catin,
Nous volons au passage un plaisir clandestin
Que nous pressons bien fort comme un veille orange.

Serré, fourmillant, comme un million d'helminthes,
Dans nos cervaux ribote un peuple de Démons,
Et, quand nous respirons, la Mort dans nos poumons 
Descend, fleuve invisible, avec sourdes plaintes.

Si le viol, le poison, le poignard, l'incendie, 
N'ont pas encor brodé de leurs plaisants dessins
Le canevas banal de nos piteux destins,
C'est que notre âme, hélas! n'est pas assez hardie.
Mais parmi les chacals, les panthères, les lices,

Les singes, les scorpions, les vautours, les serpents,
Les monstres glapissants, hurlants, grognants, rampants,
Dans la ménagerie infâme de nos vices,

Il en est un plus laid, plus méchant, plus immonde!
Quoiqu'il ne pousse ni grands gestes ni grands cris,
Il ferait volontiers de la terre un débris
Et dans un bâillement avalerait le monde;

C'est l'Ennui! L'oeil chargé d'un pleure involontaire,
Il rêve d'échaufauds en fumant son houka.
Tu le connais, lecteur, ce monstre délicat,
— Hypocrite lecteur, — mon semblable, — mon frère!","Complacency, corruption, sin, greed,
Infiltrate our spirits and work our corpse,
And we nourish our genial remorse,
Like mice flocking to beggars to feed,

Our sins are stubborn, our repentance lax;
We pay a hefty sum for our confessions,
Then happily rejoin the path of transgression,
Thinking that vile tears will erase our tracks.

On the cushion of evil, it's Satan Trismegist;
Our charmed spirits he cradles in submission,
And the rich metal of all our volition,
Is vaporized by this cunning alchemist.

It's the devil who holds the strings that move us!
With the repugnant objects we become entrance;
Each day one step closer to hell we advance,
Without repulsion, through the rancid darkness.

And like a wasteful pauper who kisses and eats
The martyred chest of a weathered whore,
As we pass by, we steal a secret pleasure
That we squeeze like an old orange until replete.

Tightly swarming, like a million parasites,
In our brains, Demon-people bang their drums,
And when we breathe, death fills our lungs –
An invisible river flowing with muted cries.

If rape, poison, knives or a fire blazing
Have not etched their pleasing design
On the banal canvas our destine define,
It's that our soul, alas! Is not so brazen.

But among the jackals, the panthers, the lice,
The monkeys, scorpions, vultures, snakes,
The rampant monsters' yelps and shrieks,
In the infamous, infinite menagerie of our vice,

One more ugly, crueler, and sinful lives on!
Though he makes no loud cries on grand gestures,
He would easily demolish the earth with pleasure,
And swallow the world with a simple yawn;

It's Boredom! Guilty of causing the tears of another,
He dreams of guillotines while smoking his pipe.
You know him, reader – a monster of refined type –
Hypocrite reader, my likeness, my brother!",,"<p>Charles Baudelaire was born in 1821 in Paris. Often referred to as a poéte maudit, a “cursed poet,” Baudelaire was known for his work in translating Edgar Allan Poe’s poetry from English to French as well as for his originality in style. He is credited with coining the term “modernity” to refer to the fleeting quality of life in an urban city. His most famous work is <em>Les fleurs du mal<em>, or <em>The Flowers of Evil</em>.</p>","<p>Allison is a junior in the Huntsman Program in International Studies and Business, concentrating in Finance and Operations & Information Management at Wharton and majoring in International Studies in the College with a minor in Comparative Literature.</p>
",French,fr,assets/images/5fbb1447-e2e2-41d2-b2d9-0038dd64cfa9.jpg,,,,,,2014,,submission
what-can-i-say,關於死亡,What Can I Say,Liu Xiaobo,Anjali Tsui,"娴於死亡
我舵盼的
决不舍多方令
你睹终前的眅睛
每一瞥带来的震撼
决不亚虎一次
末日窖判

17/01/2001
於北京家中","What I say
about death
will convey
no more
than your eyes
before dying.
The immensity
carried
by each
glance

overweighs
the final
sentence.


—At home in Beijing, 01/17/2001","<p>Every year, around June 4, Liu Xiabo writes a series of elegies to commemorate the incident and those who lost their lives. Liu's ""June Fourth Elegies,"" written between 1990 and 2009, were translated into English and published in their entirety for the first time last year. Each poem is stamped with a record of where and when it was composed. ""What Can I Say"" was written in 2001 as part of the series. Composed in Beijing, the poem reflects on the author's failed attempts to tackle the subject of death.</p>
","<p>Liu Xiaobo was a poet and activist. Going on a hunger strike to support the 1989 student protests in Tiananmen Square, Liu was  arrested for speaking out when government troops massacred those protesting students on the fourth of June. He remained imprisoned or in labor camps for almost the rest of his life, and in 2017, he died of liver cancer. Liu was awarded the 2010 Nobel Peace Prize for ""his long and non-violent struggle for fundamental human rights in China,"" though the Chinese government did not allow him to receive it.</p>","<p>Anjali Tsui grew up in Hong Kong, where she constantly translated between English and Chinese. She graduated from the University of PennsIvania in May 2013 and majored in Creative Writing. She's back home, working as a journalist for CNN International.</p>",Chinese,zh,/assets/images/IMG_6775.jpeg,,,,,,2014,,submission
one-morning,某天早晨,One Morning,Liu Xiaobo,Anjali Tsui,"某天早晨
一给一佪人去西藏的霞
某天早展
哈欠和倦怠的早展
我猜想
在你舆高原之间
天空不可思峨地
颐得深遠
没厘没霎没荔
透明的简色格外迷茫
你走H寺
我很平静
你的背影一消失
思懋就在遠方生畏
如同孩子那小小的手掌
纹路里走勤著另—佪人
曲曲折折地穿迵我的身鹘
辱找唯一的—1固祠
祠的乘翔不需要翅膀
如同氛味引等著霪魂
早晨的光绿不安地抖勤
有贴凭陌生的感霓
像你扁了迼次遠行
準佣的那婴新鞋
被摇晃的特问
踱我的萝未婚先孕
缺每的雪山
贪婪地吸著
你喷出的第一口埋

7/14/1993","--for Xia, going to Tibet alone

One morning,
One yawning and tired morning,
I imagined
that between you
and the high plateau,
the sky must be
unthinkably deep
and far. Lacking
wind, cloud or fog
the translucent blue
perplexes.

When you left,
I was calm.
But when I could no longer see your shadow
the longing for my beloved grew up

and another person wanders and wanders through the lines
in a very small palm of a child
meandering through my body
looking for the only word.

Words don't need wings
They wheel around
Guiding the spirit like a scent in the air
The morning rays fumble
Like the new shoes you bought
for this long-distance trip.

Fluttered open, this time
has allowed my dreams
to be pregnant but not married.
Sealed with snow,

the peaks snatch
the mist you exhale.

7/14/1993","<p>""One Morning,"" written in 1993, is dedicated to Liu Xiaobo's wife, Liu Xia. While Liu Xiaobo's poems to his wife do not directly reference June 4, they are heavily implicated by the day's events and its aftermath. ""One morning"" is a poem written from prison.</p>","<p>Liu Xiaobo was a poet and activist. Going on a hunger strike to support the 1989 student protests in Tiananmen Square, Liu was  arrested for speaking out when government troops massacred those protesting students on the fourth of June. He remained imprisoned or in labor camps for almost the rest of his life, and in 2017, he died of liver cancer. Liu was awarded the 2010 Nobel Peace Prize for ""his long and non-violent struggle for fundamental human rights in China,"" though the Chinese government did not allow him to receive it.</p>

","<p>Anjali Tsui grew up in Hong Kong, where she constantly translated between English and Chinese. She graduated from the University of PennsIvania in May 2013 and majored in Creative Writing. She's back home, working as a journalist for CNN International.</p>",Chinese,zh,,,,,,,2014,,submission
trolley-stop,Paragem Zona,Trolley Stop,Fernando Pessoa,Benjamin Notkin,"Tragam-me esquecimento em travessas!
Quero comer o abandono da vida!
Quero perder o hábito de gritar para dentro.
Arre, já basta! Não sei o quê. mas já basta ...
Então viver amanhã, hein? ... E o que se faz de hoje?
Viver amanhã por ter adiado hoje?
Comprei por acaso um bilhete para esse espectáculo?
Que gargalhadas daria quem pudesse rir!
E agora aparece o eléctrico --- o de que eu estou à espera ---
Antes fosse outro ... Ter de subir já!
Ninguém me obriga, mas deixai-o passar, porquê?
Só deixando passar todos, e a mim mesmo, e à vida ...
Que náusea no estômago real que é a alma consciente!
Que sono bom o ser outra pessoa qualquer ...
Já compreendo porque é que as crianças querem ser guarda-freios ...
Não, não compreendo nada ...
Tarde de azul e ouro, alegria das gentes, olhos claros da vida ...","Bring me oblivion by the platter!
I will feast on forgetting life,
and quit the habit of screaming at my insides.
Bah! That's enough! Of what? Enough!
Live tomorrow, eh? But what about today?
Live tomorrow as today delayed?
I paid money for this show?
Oh, how they would laugh at me! To see this comedy!
And here appears the trolleycar--the one I stand here for--
It came before and will come again, but I will jump on now.
No, no one is making me, but why let it pass?
Let them all pass? And me, and my soul, and life, pass?
How a conscious soul chums the stomach.
What sleep it would be to not be me!
Now I understand the child's dream to be the trolleyman.
No, I don't understand, anything, at all.
Afternoons of blue and gold, joyous people, clear and vivid eyes.","<p>Pessoa attributed ""Paragem Zona"" to
Alvaro de Campos, one of his most prolific heteronyms.</p>","<p>Fernando Pessoa was born in 1888, and died in 1935. He spent his life in South Africa, Portugal, and England. Most noteworthy is his employment of heteronyms, or rather, highly elaborated pseudonyms. Pessoa attributed his poems to more than eighty imagined personas. These personas, or heteronyms, interacted with one another, as teachers, friends, critics, etc., and each possessed a unique voice.</p>",<p>Benjamin Notkin is a senior in the College. He studies History and English and has a minor in Physics.</p>,Portuguese,pt,,,,,,,2014,,submission
behind-the-reeds,Πισώ από τις Καλαμιές,Behind the Reeds (Performed by Marinella; lyrics of Pythagoras Papastamatiou,Pythagoras Papastamatiou,Dionysia Sotiropoulou,"Πίσω από τις καλαμιές
ήρθες στον ύπνο μου εχτές
και με φιλούσες στα μαλλιά
και ξαναζούσα τα παλιά.

Νά'ταν ο πόνος μια ματιά
το δάκρυ μια σταλαματιά
να'ταν φτερό ο χωρισμός
να τονε πάρει ο ποταμός.
Θά'ταν αλήθεια κι οι στιγμές
πίσω από τις καλαμιές.

Πίσω από τις καλαμιές
σ' άνοιξα χέρια κι αγκαλιές,
κι ήσουν δικός μου ως το πρωί
αλλά με ξύπνησ'η ζωή.

Ν ά' ταν ο πόνος μια ματιά
το δάκρυ μια σταλαματιά
να'ταν φτερό ο χωρισμός
να τονε πάρει ο ποταμός.
Θά'ταν αλήθεια κι οι στιγμές
πίσω από τις καλαμιές.","Behind the reeds/you came to me
Yesterday in sleep;
And kissed my hair, and I relived
All that had long passed.

Were pain merely a blink
A tear, dropped from a batted eye
Were separation only a feather
For the river to carry away
Then those moments would also have been real –
Behind the reeds.

Behind the reeds/I opened
Hands and embraces 
And you were mine until the dawn
But then I was awoken by life. 

Were pain merely a blink
A tear, dropped from a batted eye
Were separation only a feather
For the river to carry away
Then those moments behind the reeds 
Would also have been real. ","<p>I hope that by translating Pythagoras Papastamatiou's ""Behind the Reeds,"" which was first performed by Marinella, I might prompt people to discover the beautiful, melancholy melodies that complete it. The song, despite its delicate words, is full of surging lamentation. I took some liberties in line redistribution to combat sparsity (signified by the slash) and inverted the final line of the second iteration of the chorus; the spirit remains intact.</p>","<p>Marinella is an icon of Greek music, but seems to be underexposed elsewhere. Her music is far from just a regional curiousity. Pythagoras Papastamatiou (Πυθαγόρας Παπασταματίου) was a Greek lyricist and playwright.<p/> ",<p>Dionysia Sotiropoulou is a freshman in the College.<p/>,Greek,el,,,,,,,2014,,submission
acrobat,Borowezyk,Akrobata,Wisława Szymborska,Margaret Borowezyk,"Z trapezu na
trapez, w ciszy po
po nagle zmilkłym werblu, przez
przez zaskoczone powietrze, szybszy niż
niż ciężar ciała, które znów
znów nie zdążyło spaść.

Sam. Albo jeszcze mniej niż sam,
mniej, bo ułomny, bo mu brak
brak skrzydeł, brak mu bardzo,
brak, który go zmusza
do wstydliwych przefrunięć na nieupierzonej
już tylko nagiej uwadze.

Mozolnie lekko,
z cierpliwą zwinnością,
w wyrachowanym natchnieniu. Czy widzisz
jak on się czai do lotu, czy wiesz
jak on spiskuje od głowy do stóp
przeciw takiemu jakim jest, czy wiesz, czy widzisz
jak chytrze się przez dawny kształt przewleka i
żeby pochwycić w garść rozkołysany świat
nowo zrodzone z siebie wyciąga ramiona –

piękniejsze ponad wszystko w jednej tej
w tej jednej, która zresztą już minęła, chwili.","He sways from the trapeze to 
to trapeze, in silence, after
after the drums are gagged, through
through the breathless air, faster than
than the weight of a body, that again
again did not fall in time.

Alone. Or even less than alone, 
less, beause he's incomplete, because he lacks 
lacks wings, lacks them so much, 
that lacks, that forces him
into embarrassing flights
that strip his thoughts into 
into naked attention. 

With exhausting lightness, 
with patient agility
with forged inspiration. Do you see
how he lurks behind the platform, do you know, do you see
how frantically he threads through his old form; 
to grasp in his palm the swaying world
he chases his escaping arms. 

beautiful beyond everything in that one 
the one that - well, just now, has passed - moment. ","<p>The poem ""Acrobat"" was inspired by an editor's mistake in a collection of poetry, where a conjunction ended up being used twice, once at the end of the poem and again at the beginning of the next poem. To Szymborska, this repetition gave the effect of swinging, as on a trapeze, so she explores this syntactic play in her poem.</p>","<p>Wisława Szymborska was a Polish poet, translator, and recipient of the Nobel Prize in Literature, who died this year, at the age of 88. Many of her poems are heavily implicated in WWII and the subsequent Communist regime in Poland. People call her the ""Greta Garbo"" of Polish poetry, because she has a reputation for rapidfire humor and stinging sarcasm.</p>
","<p>Margaret Borowczyk is a senior studying Linguistics and Comparative
 Literature. She is also a submatriculant in the Educational Linguistics Masters program at Penn GSE, focusing on foreign language education.Margaret is deeply interested in the cultural and linguistic translation of poetry, and has concentrated on Polish authors, since Polish is her native language. She has also been a dancer for Onda Latina for the past four years, and has therefore been lucky enough to explore inter-culturality through dance as well as writing.<p/> ",Polish,pl,/assets/images/image2-2.jpeg,,,,,,2014,,submission
poem-of-necessity,Poema da Necessidade,Poem of Necessity,Carlos Drummond de Andrade,Melanie Vladimirschi,"É preciso casar João,
é preciso suportar Antônio,
é preciso odiar Melquíades
é preciso substituir nós todos.

É preciso salvar o país,
é preciso crer em Deus,
é preciso pagar as dívidas,
é preciso comprar um rádio,
é preciso esquecer fulana.

É preciso estudar volapuque,
é preciso estar sempre bêbado,
é preciso ler Baudelaire,
é preciso colher as flores
de que rezam velhos autores.

É preciso viver com os homens
é preciso não assassiná-los,
é preciso ter mãos pálidas
e anunciar O FIM DO MUNDO.","It's necessary to marry João,
it's necessary to support Antonîo,
it's necessary to hate Melquialdes,
it's necessary to replace all of us.

It's necessary to save the country,
it's necessary to believe in God,
it's necessary to pay the debts,
it's necessary to buy a radio,
it's necessary to forget a woman.

It's necessary to study Volapük,
it's necessary to always be drunk,
it's necessary to read Baudelaire,
it's necessary to pick the flowers
by which old authors pray.

It's necessary to live with men,
it's necessary not to kill them,
it's necessary to have pale hands
and announce THE END OF THE WORLD.","<p>This poem was taken from Carlos Drummond de Andrade's book <i>Sentimento do mundo</i>, or <i>Feeling of the World</i>, published for the first time in 1940. This stage reflects a systematic, cold, and political world, where the lack of perspective caused by war plague the poet's words.</p>","<p>Carlos Drummond de Andrade was possibly the most influential poet in Brazil in the twentieth century. Born on October 31, 1902 in Itabira, Minas Gerais, he started writing at a young age and became Brazil's first assertive modernist. His work is characterized by linguistic freedom and free verse, and from the period of 1935 to 1940, Drummond wrote poetry characterized by his desire to participate and try to change the world around him. Drummond died in August 17, 1987 in Rio de Janeiro.</p>","<p>Melanie Vladimirschi was born and raised in São Paulo, Brazil. In 2011 she moved to Philadelphia to attend the University of Pennsylvania, where she is currently a junior studying Health Communication and Creative Writing. At Penn, Melanie is the Public Relations Chair of the Penn Brazil Club and of the Wharton Undergraduate Hospitality and Travel Club. She is also a Peer Advisor for the College of Arts and Sciences, since she is fascinated by leadership development and mentoring. Apart from translating, Melanie also enjoys going to Barre classes, eating good food and spending time with her two pugs, Pocca and Flora.</p>",Portuguese,pt,,,,,,,2014,,submission
one-attempt-at-jealousy,Попытка ревности,<em>One</em> Attempt at Jealousy,Marina Tsvetaeva,Lauren Kaufmann,"Как живется вам с другою, —
Проще вадь? — Удар весла! —
Линией береговою
Скоро ль память отошла

Обо мне, плавучем острове
(По небу — не по водам)!
Души, Души! — быть вам сестрами,
Не любовницами — вам!

Как живется вам с <em>простою</em>
Женщиною? <em>Без<em/> божеств?
Государыню с престола
Свергши (с оного сошед)

Как живется вам — холопочется —


С пошлиной бессмертной пошлости
","How is your life with the other one,
simpler? One stroke from our rusted
rowboat--lighter now, by half--then
a long coastline. And soon the memory

of me is an island in the sky
(no longer in water--I'm Apollo this time)
Souls, settling for siblings,
sibings, not lovers.

How is your life with a woman
quotidian? Without scent divine?
Having forced your empress to seek
new kingdoms ( and you having resigned),

How is your life? Has your asthma become
chronic? Gasp,    when you wake up? Poor man,
how do your lungs bear this dishonor?

'I've had it, your feverish passions,
I'm migrating North.'
How is your life with another,
you, the one I chose?

Easier to chew now, your food, syrupy? Who to
blame, when ash tickles your taste buds?
How is your postcard life, penumbra!?
You, who felt the blaze atop Sinai.

How is your life with a stranger
from down there? Do you-dimmi
love her? or the rib inside?

How is life? Does your foot still cramp
when it rains? Does your hum-song
drown out the mice in your mind?

How do you live with a commodity,
bought at the highest price?
How's worshipping a plastic evergreen?

How is it, with a woman-after the Laurel?
Are you happy? No? In a mortgaged condo--
how is your life, my love? Is it as hard as mine
with another man?",,"<p>Marina Tsvetaeva was a prominent Russian poet who wrote in the early twentieth century, known for her experimental style.</p>
","<p>Lauren Kaufmann is a senior in the College of Arts and Sciences at Penn
~a double major in English and Philosophy.",Russian,ru,/assets/images/CCB084F4-98E2-4A2E-BE86-4B7839BA59B1.jpg,,,,,,2014,,submission
