pid,name,type
ancient_greek,Ancient Greek,language
arabic,Arabic,language
bahasa_indonesia,Bahasa Indonesia,language
bosnian,Bosnian,language
bulgarian,Bulgarian,language
chinese,Chinese,language
czech,Czech,language
esperanto,Esperanto,language
dutch,Dutch,language
farsi,Farsi,language
french,French,language
friulian,Friulian,language
german,German,language
genovese,Genovese,language
greek,Greek,language
hebrew,Hebrew,language
hindi,Hindi,language
hungarian,Hungarian,language
italian,Italian,language
japanese,Japanese,language
judeo_spanish,Judeo Spanish,language
kannada,Kannada,language
kashmiri,Kashmiri,language
korean,Korean,language
latin,Latin,language
lithuanian,Lithuanian,language
mandarin,Mandarin,language
malayalam,Malayalam,language
middle_english,Middle English,language
norwegian,Norwegian,language
old_english,Old English,language
old_occitan,Old Occitan,language
polish,Polish,language
portuguese,Portuguese,language
russian,Russian,language
sanskrit,Sanskrit,language
sinhalese,Sinhalese,language
spanish,Spanish,language
swedish,Swedish,language
tagalog,Tagalog,language
thai,Thai,language
turkish,Turkish,language
urdu,Urdu,language
yiddish,Yiddish,language
english,English,language
siswati,siSwati,language
