pid,title,transtitle,author,translator,language,lang,pagetype
staff2016,Staff,,,,,,frontmatter
ednote2016,Editor’s Note,,,,,,frontmatter
all-your-breakers-and-your-waves,כל משבריך וגליך,all Your breakers and Your waves,Dahlia Ravikovitch,Mira Revesz,Hebrew,he,content
excerpts-from-va-ou,Extraits de <em>Va où</em>,Excerpts from <em>Va où</em>,Valérie Rezeau,Malika Kadyrova,French,fr,content
a-tree-in-blossom,《一棵开花的树》,A Tree in Blossom,Xi Murong,Tina Zhu,Chinese,zh,content
as-i-wait-for-you,너를 기다리는 동안,As I Wait for You,Hwang Ji-woo,Jin Ah Lee,Korean,ko,content
to-an-oak,致橡树,To an Oak,Shu Ting,Johnathan Zheng,Chinese,zh,content
heart-rind,Corazón coraza,Heart-rind,Mario Benedetti,Rafael Rodriguez,Spanish,es,content
leaning-into-the-afternoons,Poema XVII,Leaning Into the Afternoons,Pablo Neruda,Naomi Bernstein,Spanish,es,content
i-would-like-to-die-before-you,Ben Senden Önce Ölmek İsterim,I Would Like to Die Before You,Nâzım Hikmet,Keyla Çavdar,Turkish,tr,content
metaphysique-des-tubes,<em>Métaphysique des tubes</em>,Métaphysique des tubes,Amélie Nothomb,Kathleen Zhou,French,fr,content
under-one-little-star,Pod jedną gwiazdką,Under One Little Star,Wisława Szymborska,VanJessica Gladney,Polish,pl,content
by-the-agua-grande,Lá no Água Grande,By the Água Grande,Alda do Espírito Santo,Marisa Bruno,Portuguese,pt,content
the-paths,Пътеките,The Paths,Pavel Matev,Mirela Zaneva,Bulgarian,bg,content
from-requiem-2016,Реквием,From <em>Requiem</em>,Anna Akhmatova,Yehudith Dashevsky,Russian,ru,content
interview-with-suvir-kaul,An Exercise in Compromise: A Conversation about Literary Translation with Professor Suvir Kaul,,interview conducted by Shailly Pandey,,,,musing
then-and-today,Teli tu’ az,Then and Today,Naji Munawar,Suvir Kaul,Kashmiri,ks,content
a-new-day-will-dawn,nov subah pholi,A New Day Will Dawn,Som Nath Bhat “Veer”,Suvir Kaul,Kashmiri,ks,content
notes-on-the-afterlives,Notes on the Afterlives,,Keyla Çavdar,,,,musing
cucumber,Salatalık,Cucumber,Nâzım Hikmet,Monica Wojciechowski,Turkish,tr,content
the-ninth-letter-on-the-platform,على رصيف المحطة,The Ninth Letter: On the Platform,Nizar Qabbani,Michael Karam,Arabic,ar,content
you-dont-love-me-you-dont-pity-me,"Ты меня не любишь, не жалеешь","You Don’t Love Me, You Don’t Pity Me",Sergei Yesenin,Malika Kadyrova,Russian,ru,content
under-the-custody-of-time,Propiedad de la espera,Under the Custody of Time,Alejandro Zambra,Roberto Rodriguez,Spanish,es,content
three-sonnets,Three Sonnets,Three Sonnets,La Compiuta Donzella,Samantha Pious,Italian,it,content
fine-untitled,Może być bez tytułu,Fine Untitled,Wisława Szymborska,Monica Wojciechowski,Polish,pl,content
clockwork-doll,בובה ממוכנת,Clockwork Doll,Dahlia Ravikovitch,Alexandra Pierson,Hebrew,he,content
balcony,Le Balcon,Balcony,Charles Baudelaire,Shilpa Saravanan,French,fr,content
pirate-king,Ou temps qu’Alixandre regna,Pirate King,François Villon,Samantha Pious,French,fr,content
herzeloyde,"<em>Parzival</em>, Book III",Herzeloyde,Wolfram von Eschenbach,Michaela Kotziers,German,de,content
azalea,진달래꽃,azalea,Kim Sowol,<em>DoubleSpeak</em> Staff,Korean,ko,content
testament,Testamento,Testament,Maria Luisa Spaziani,Shailly Pandey,Italian,it,content
sleeping-on-a-night-of-autumn,秋雨夜眠,Sleeping on a Night of Autumn,Bai Juyi,Jasmine Phun,Chinese,zh,content
salute-and-wish,Saluto e augurio,Salute and Wish,Pier Paolo Pasolini,Stefano Pietrosanti,"Friulian, Italian",it,content
copyright2016,Copyright,,,,,,frontmatter
