pid,title,transtitle,author,translator,language,pagetype
staff2018,Staff,,,,,frontmatter
ednote2018,Editor’s Note,,,,,frontmatter
black-woman,Femme Noire,Black Woman,Léopold Sédar Senghor,Donnisa Edmonds,French,submission
here-i-love-you,Aquí te amo,Here I Love You,Pablo Neruda,Sam Friskey,Spanish,submission
where-does-such-tenderness-come-from,Откуда такая нежность?,Where Does Such Tenderness Come From?,Marina Tsvetaeva,Jianing Zhao,Russian,submission
repose,Giacere,Repose,Antonia Pozzi,Stephanie Diaz,Italian,submission
three-sonnets-extracted-from-les-amours,Trois Sonnets extraits de Les Amours,Three Sonnets extracted from Les Amours,Pierre de Ronsard,Saagar Asnani,Middle French,submission
meadow-in-the-forest,Die Wiese im Wald,Meadow in the Forest,Paul Celan,Michaela Kotziers,German,submission
as-much-as-you-can,Όσο Mπορείς Αναγνωρισμένα,As Much As You Can,C. P. Cavafy,Josh Bryer,Greek,submission
riddle-47,Riddle 47,Riddle 47,Anonymous,Samantha Pious,"Old English, Middle French, English",submission
if-you-dont-come-home-im-too-afraid-to-age,你不来，我不敢老去,"If You Don't Come Home, I'm Too Afraid to Age",Li Jizong,Kejia Wang,Chinese,submission
wait,Warte,Wait,Nelly Sachs,Alex Stern,German,submission
poesia,Poesia,Poesia,Giovanni Pascoli,Stefano Pietrosanti,Italian,submission
the-birth-of-the-poem,O Nascimento do poema,The Birth of the Poem,Adélia Prado,Ellen Doré Watson,Portuguese,submission
fair-lady-yu,虞美人,Fair Lady Yü,Li Yu,Yuchao Wang,Chinese,submission
life-song,Lebenslied,Life Song,Paul Celan,Michaela Kotziers,German,submission
moon,ירח,Moon,Nathan Alterman,Josh Glahn,Hebrew,submission
memories-watch-me,Minnena Ser Mig,Memories Watch Me,Tomas Tranströmer,Rhosean Asmah,Swedish,submission
you-are-not-poetry,Poesía no eres tú,You Are Not Poetry,Rosario Castellanos,Stephanie Diaz,Spanish,submission
o-motherland-my-dear-motherland,祖国啊，我亲爱的祖国,"O Motherland, My Dear Motherland",Shu Ting,Vivian Yuxin Wen,Chinese,submission
from-requiem,Из “Реквием”,From <em>Requiem</em>,Anna Akhmatova,Yehudith Dashevsky,Russian,submission
the-meditated-death,La morte meditata,The Meditated Death,Giuseppe Ungaretti,Carla Rossi,Italian,submission
the-verb,El verbo,The Verb,Mario Benedetti,Ella Konefal,Spanish,submission
in-the-pyre-of-war,בִּמְדוּרוֹת מִלְחָמָה,In the Pyre of War,Hannah Szenes,Jacob Hershman,Hebrew,submission
copyright2018,Copyright,,,,,frontmatter
