pid,transtitle,title,engauthor,ogauthor,translator,language,lang
I-Too-Am-a-Riddle,"I, Too, Am a Riddle","<span lang=""hi"">प्रिय! मैं हूँ एक पहेली भी</span>",Mahadevi Varma,,Anjali Gupta,Hindi,hi
YOU-DONT-RAISE-CHILDREN-TO-WATCH-THEM-DIE,YOU DON'T RAISE CHILDREN TO WATCH THEM DIE,NO SE CRÍAN HIJOS PARA VERLOS MORIR,Rosabetty Muñoz,,Claudia Nuñez de Ibieta,Spanish,es
Unwavering,Unwavering,Manteniéndome firme,Zoraida Armengol,,Pablo Abrante,Spanish,es
Whispered,Whispered,Tiše,František Halas,,Kathryn Dettmer,Czech,cs
Certitude,Certitude,Jistota,František Halas,,Kathryn Dettmer,Czech,cs
I-Have-Seen-Ikh-Hob-Gezen,I Have Seen (<em>Ikh Hob Gezen</em>),"<""span lang=""he>

איך האָבּ געזען

<span/>",Zusman Segalovitsh,,Betsy Morgan,Yiddish,he
Extinguish-the-Sun-Farlesh-Di-Zun,Extinguish the Sun (<em>Farlesh Di Zun</em>),"<""span lang=""he>

פאַרלעש די זון

<span/>",Zusman Segalovitsh,,Betsy Morgan,Yiddish,he
The-Vultures,The Vultures,Les vautours,David Diop,,Samantha DeStefano,French,fr
finch,Finch,"<span lang=""zh"">雀</span>",Zhang Ergun,,Kejia Wang,Mandarin,zh
Morituri,Morituri,Morituri,Adolf Brand,,Robert Chen,German,de
Kaise-Kahoon-How-Do-I-Say,Kaise Kahoon/How Do I Say?,,Simran Chand,,,English,en
Reaching-for-Words-On-Gottschee,Reaching for Words: On Gottschee,,Quinn Gruber,,,English,en
Zinka,Zinka,"<span lang=""ru"">Зинка</span>",Yuliya Drunina,,Maya Shumyatcher,Russian,ru
Phra-Aphai-Mani,Phra Aphai Mani,"<span lang=""th"">พระอภัยมณี</span>",Sunthorn Phu,,John Viano and Peeriya Pongsarigun,Thai,th
Whole-of-Spring,Whole of Spring,La primavera entera,Idea Vilariño,,Maria Lourdes Riillo,Spanish,es
Alcohols-1909,Alcohols: 1909,Alcools: 1909,Guillaume Apollinaire,,Saagar Asnani,French,fr
Mother,Mother,Anne,Sirin Parkan,,Emre Azizlerli,Turkish,tr
Three-poems,Three poems,,Stella N'Djoku,,Julia Pelosi-Thorpe,Italian,it
The-universe-blames-me,The universe blames me,"<span lang=""ar"">
تلومني الدنيا
</span>",Nizar Qabbani,,Michael Karam,Arabic,ar
Epilogue-II-to-Requiem,"Epilogue II to ""Requiem""","<span lang=""ru"">Реквием. Эпилог II</span>",Anna Akhmatova,,Ryan Hardy,Russian,ru
The-Romantic-Dogs,The Romantic Dogs,Los perros románticos,Roberto Bolaño,,<em>DoubleSpeak</em> Staff,Spanish,es
